iyear,imonth,iday,provstate,city,latitude,longitude,location,summary,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,motive,nperps,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,addnotes,scite1,scite2,scite3,dbsource
2001,10,12,New York,New York City,40.712784,-74.005941,,"10/12/2001: In one of several anthrax-related incidents, Erin O'Connor, the assistant to Tom Brokaw at NBC, was diagnosed with skin anthrax after she came into contact with a letter containing anthrax spores postmarked from Trenton, New Jersey, U.S.A.. The letter was postmarked September 18, 2001. Ms. O'Connor opened the letter on September 25, 2001 and began to show signes of infection on September 28, 2001. A second NBC employee was later diagnosed with ""probable"" skin anthrax on October 12, 2001. Four New Jersey postal workers, who worked in the facility, also contracted skin anthrax. No group claimed responsibility for the attacks. Concluding an extensive investigation, the Federal Bureau of Investigation identified microbiologist Dr. Bruce Ivins as the sole perpetrator. However, Ivins committed suicide in 2008, having not been arrested or prosecuted. An independent review of the scientific evidence by the National Academy of Science indicated that it was essentially inconclusive.",1,1,0,8,Unarmed Assault,,.,10,Journalists & Media,53,Newspaper Journalist/Staff/Facility,National Broadcasting Company (NBC),Tom Brokaw,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),Unknown,,1,Biological,,.,,.,,.,,.,,.,,.,,.,Bacillus anthracis (Anthrax),0,0,6,6,0,0,,.,,,,"?NBC employee has anthrax; germ found in letter to Microsoft,? Knight Ridder Washington Bureau, October 13, 2001.","?Timeline of anthrax outbreak,? Associated Press Online, October 31, 2001.","?Second NBC Anthrax Case,? Daily News, October 26, 2001.",CETIS
2001,10,15,New York,New York City,40.712784,-74.005941,,"10/15/2001: In one of several anthrax-related incidents, a seven-month-old boy and son of an American Broadcasting Company (ABC) producer tested positive for anthrax after having visited the ABC newsroom on September 28th. The perpetrator(s) was unknown as was the method of transmission, since no letter was found as in the other anthrax cases. Many more spores were found in the building when the location was inspected. No group claimed responsibility for the attacks. Concluding an extensive investigation, the Federal Bureau of Investigation identified microbiologist Dr. Bruce Ivins as the sole perpetrator. However, Ivins committed suicide in 2008, having not been arrested or prosecuted. An independent review of the scientific evidence by the National Academy of Science indicated that it was essentially inconclusive.",1,1,0,8,Unarmed Assault,,.,10,Journalists & Media,53,Newspaper Journalist/Staff/Facility,American Broadcasting Company (ABC),ABC News offices in New York City,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),Unknown,,1,Biological,,.,,.,,.,,.,,.,,.,,.,Anthrax (Bacillus anthracis) was used in the attack.,0,0,1,1,0,0,,.,,,,"?Timeline of anthrax outbreak,? The Associated Press, October 31, 2001.","?Baby is sick with anthrax,? Daily Mail, October 16, 2001.",,CETIS
2001,10,18,New York,New York City,40.712784,-74.005941,,"10/18/2001: In one of several anthrax-related incidents, a letter laced with anthrax was sent to Dan Rather of CBS in New York City, New York, U.S.A.. His personal aide, Claire Fletcher, contracted the skin form of anthrax after she opened the letter. The perpetrator(s), as well as specific details concerning the letter were not known. No other employees at CBS were found to have anthrax infections. No group claimed responsibility for the attacks. Concluding an extensive investigation, the Federal Bureau of Investigation identified microbiologist Dr. Bruce Ivins as the sole perpetrator. However, Ivins committed suicide in 2008, having not been arrested or prosecuted. An independent review of the scientific evidence by the National Academy of Science indicated that it was essentially inconclusive.",1,1,0,8,Unarmed Assault,,.,10,Journalists & Media,53,Newspaper Journalist/Staff/Facility,CBS Broadcasting Inc. (CBS),"CBS Anchorman, Dan Rather",217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),Unknown,,1,Biological,,.,,.,,.,,.,,.,,.,,.,Anthrax (Bacillus anthracis) laced letters that were mailed to Dan Rather at CBS Inc. in New York City.,0,0,1,1,0,0,,.,,,,"?Skin anthrax hits Rather aide at CBS,? Chicago Sun Times, October 19, 2001.","?Timeline of anthrax outbreak,? The Associated Press, October 31, 2001.",,CETIS
2001,10,19,New York,New York City,40.712784,-74.005941,,"10/19/2001: In one of several anthrax-related incidents, Johanna Huden, an employee for The New York Post, was diagnosed with the skin form of anthrax in New York City, New York, U.S.A.. The victim had opened a Letter to the Editor that had been laced with anthrax on September 22nd. The letter had been postmarked from Trenton, New Jersey on September 18th. Mark Cunningham, another New York Post employee, was also diagnosed with skin anthrax. The victims in this case recovered. No group claimed responsibility for the attacks. Concluding an extensive investigation, the Federal Bureau of Investigation identified microbiologist Dr. Bruce Ivins as the sole perpetrator. However, Ivins committed suicide in 2008, having not been arrested or prosecuted. An independent review of the scientific evidence by the National Academy of Science indicated that it was essentially inconclusive.",0,1,0,8,Unarmed Assault,,.,10,Journalists & Media,53,Newspaper Journalist/Staff/Facility,New York Post,Editor in Chief of the New York Post,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),Unknown,,1,Biological,,.,,.,,.,,.,,.,,.,,.,Bacillus anthracis (Anthrax),0,0,2,2,0,0,,.,,,This was one of eight related attacks (cf. 200110020003; 200110120004; 200110150001-02; 200110180004; 200110190001; 200110260004; 200110290003).,"?Timeline of anthrax outbreak,? Associated Press Online, October 31, 2001.","""Fourth anthrax case hits New York,"" Associated Press, October 19, 2001",,CETIS
2001,10,29,New York,New York City,40.712784,-74.005941,,"10/29/2001: In one of several anthrax-related incidents, Kathy Nguyen, an employee at the Manhattan Eye, Ear and Throat Hospital in New York, New York, U.S.A. was diagnosed with the inhalation form of anthrax. She died on October 31st. It was not clear how she contracted the disease, although she had previously worked in the stockroom of the hospital. The perpetrator(s) of this incident was not known. No group claimed responsibility for the attacks. Concluding an extensive investigation, the Federal Bureau of Investigation identified microbiologist Dr. Bruce Ivins as the sole perpetrator. However, Ivins committed suicide in 2008, having not been arrested or prosecuted. An independent review of the scientific evidence by the National Academy of Science indicated that it was essentially inconclusive.",1,1,0,8,Unarmed Assault,,.,1,Business,6,Medical/Pharmaceutical,"Manhattan Eye, Ear, and Throat Hospital","Kathy Nguyen, an employee at the Manhattan Eye, Ear, and Throat Hospital",217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),Unknown,,1,Biological,,.,,.,,.,,.,,.,,.,,.,The victim suffered from the inhalation form of anthrax.,1,1,0,0,0,0,,.,,,,"?Timeline of anthrax outbreak,? The Associated Press, October 31, 2001.","?61-year-old New York City hospital worker dies of inhaled anthrax,? The Associated Press, October 31, 2001.",,CETIS
2005,5,5,New York,New York City,40.712784,-74.005941,,"05/05/2005: Unidentified perpetrators threw two small, homemade grenades at a building housing the British Consulate in New York City, New York, United States. No one was harmed in the attack, but the building sustained some minor damage. No group claimed responsibility for the attack.",0,1,0,3,Bombing/Explosion,,.,7,Government (Diplomatic),46,Embassy/Consulate,British Consulate,The office of the British Consulate in New York City,216,Great Britain,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Civilians,New York City civilians,217,United States,,.,,.,,,,.,Unknown,Unknown,,6,Explosives/Bombs/Dynamite,7,Grenade,,.,,.,,.,,.,,.,,.,The two grenades used in the attack were homemade.,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,There was minor damage to the exterior of the building.,The attack occurred on the same day as Britain's national elections.,"Tom Hays, ?Grenades Damage British Consulate in N.Y.,? The Associated Press, May 05, 2005.","?Police Questions Man about British Consulate Blast,? Xinhua General News Service, May 05, 2005.","James Bone, Michael Evans and Stewart Tendler, ?Attack on New York Consulate a Reminder of Threat,? The Times, May 06, 2005.",CETIS
2007,10,26,New York,New York City,40.712784,-74.005941,At the Mexican Consulate at 27 East 39th Street.,"10/26/2007: No casualties were reported but three windows were damaged when a single unknown perpetrator on a bicycle threw two hand grenades (replicas filled with explosive powder) at the Mexican Consulate at 27 East 39th Street in New York City, New York, United States at approximately 3:40 AM. There were no media accounts of any group claiming responsibility for the attack.",0,1,0,3,Bombing/Explosion,,.,7,Government (Diplomatic),46,Embassy/Consulate,Mexican Consulate,Mexican Consulate in New York.,130,Mexico,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),"Retaliation for the death of New York journalist Bradley Roland Will, killed one year before in Mexico while covering paramilitary activity in Mexico",,6,Explosives/Bombs/Dynamite,7,Grenade,,.,,.,,.,,.,,.,,.,,0,0,0,0,0,1,3,Minor (likely < $1 million),,Three windows were damaged.,"One of the grenades was a World War Two-style striated ?pineapple? design and the other was a Vietnam War-style smooth ?lemon? design. An attack with matching modus operandi occurred at the British Consulate in New York City on May 5, 2005. Police suggested the attack may have come in retaliation for the death of New York journalist Bradley Roland Will, who was shot and killed one year before while videotaping a standoff between demonstrators and unknown armed individuals (possibly Mexican paramilitaries) in Oaxaca, Mexico.","Tom Hays, ?Explosives break window at Mexican Consulate in NYC,? Associated Press Worldstream, October 26, 2007.","Al Baker, ?2 crude bombs hit Mexican Consulate, in echo of 2005 attack,? New York Times, October 27, 2007.","?Device explodes near Mexican consulate,? United Press International, October 26, 2007.",CETIS
2008,3,6,New York,New York City,40.712784,-74.005941,,"03/06/2008:  A small explosion hit a Armed Forces Career Center in New York's Time Square at 3:43 a.m.  No one was reportedly injured or killed by the blast that broke a glass window and a door.  The NYPD stated that the source of the explosion was an ""improvised explosive device.""  No one or group claimed responsibility for the blast.",0,1,0,3,Bombing/Explosion,,.,4,Military,27,Military Barracks/Base/Headquarters/Checkpost,Military,Joint Armed Forces Career Center,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unknown,To attack U.S. military interests.,1,6,Explosives/Bombs/Dynamite,17,Other Explosive Type,,.,,.,,.,,.,,.,,.,The device was improvised.,0,0,0,0,0,1,3,Minor (likely < $1 million),,,,"Richard Pyle, ""Times Square recruiters accustomed to protest, but bomb a first,"" The Associated Press State and Local Wire, March 6, 2008.",,,CETIS
2010,5,1,New York,New York City,40.712784,-74.005941,"The attempted car-bombing attack occurred in the Times Square area, which is located in New York City, New York, United States. The vehicle was parked on 45th Street, between Seventh and Eighth Avenues.","05/01/2010: On Saturday evening at approximately 1830, in New York City, New York, United States of America, a t-shirt vendor located between 45th Street and Seventh and Eighth Avenues noticed a dark-colored Sport Utility Vehicle (SUV) parked at the curb with its engine running and its hazard lights on. Officer Wayne Rhatigan, a member of the New York Police Department's mounted division, was alerted by the vendor and then approached the vehicle and looked inside, where he spotted a box that was smoking and was able to smell gunpowder. The NYPD Bomb Squad was called to the scene, where they deployed a robotic device to break the SUV's back windows and to observe what was inside the vehicle. In the vehicle, police discovered the following: three 20-gallon propane canisters; two five-gallon cans of gasoline; 40+ consumer-grade M-88 firecrackers that had been placed inside of a 20-ounce metal container that had been wrapped in duct tape; a 55-inch by 32-inch green metal locker that contained eight plastic bags that held a total of approximately 250 pounds of Urea based fertilizer, a metal pressure cooker pot containing wires and an additional 120 M-88 firecrackers.  The vehicle, a dark blue 1993 Nissan Pathfinder with tinted windows, had license plates that were registered to a Ford pickup truck that had been taken to a junkyard near Bridgeport, Connecticut some time during the last half of April (license plate: 98C Y09). Additionally, the vehicle identification number (VIN) had been removed from the SUV.  No casualties were reported and no group immediately claimed responsibility. However, on 05/02/2010, the Taliban posted a video on YouTube claiming responsibility for the event, saying that it was revenge for the killing of Baitullah Mehsur, Abu Omar al-Baghdadi and Abu Ayyub al-Masri. The group did not make specific mention of the car bomb or New York City, so authorities doubt the authenticity of the Pakistani Taliban's involvement. On 06/22/2010, Faisal Shahzad, admitted all 10 charges against him in connection with a failed car-bomb claiming he was a Muslim soldier and warned the US to leave Muslim lands alone.",0,0,0,3,Bombing/Explosion,,.,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,,The civilians of New York city,217,United States,,.,,.,,,,.,,.,,.,,,,.,Tehrik-i-Taliban Pakistan (TTP),The specific motive for the attack is unknown.,1,6,Explosives/Bombs/Dynamite,15,Vehicle,,.,,.,,.,,.,,.,,.,The following were intended for the attempted attack; three 20-gallon propane canisters; two five-gallon cans of gasoline; 40+ consumer-grade M-88 firecrackers that had been placed inside of a 20-ounce metal container; a 55-inch by 32-inch green metal locker that contained eight plastic bags that held a total of approximately 250 pounds of Urea based fertilizer and wires.,0,0,0,0,0,0,,.,,,,"New York Times, ""Car Bomb Leads to Evacuation in Times Square,"" New York Times, May 2, 2010, http://query.nytimes.com/gst/fullpage.html?res=980CE2DC123CF931A35756C0A9669D8B63.","Adrian Carrasquillo, ""Pakistani Taliban Claims Responsibility, Reports Claim,"" Fox News, May 10, 2010, http://www.myfoxny.com/dpp/news/local_news/nyc/pakistani-taliban-claims-responsibility-20100502-ac.","BBC Monitoring, ""Profile: Faisal Shahzad,"" BBC Monitoring, June 22, 2010, http://news.bbc.co.uk/go/pr/fr/-/2/hi/americas/8659766.stm.",ISVG
2013,5,20,New York,New York City,40.712784,-74.005941,,"05/20/2013: A letter containing ricin was mailed to the Mayor of New York City, Michael Bloomberg, in New York city, New York state, United States. The letter caused no injuries as it was intercepted before it could reach Bloomberg. The letter, which was one of three sent to pro-gun control political and social figures on May 20, 2013, warned of future attacks if Bloomberg and other gun control advocates pursued legislation to limit gun ownership. Shannon Richardson, an American television actress, was arrested on June 7, 2013 in connection with the attack.",1,0,0,8,Unarmed Assault,,.,2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Government of New York City,Mayor: Michael Bloomberg,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),Sources stated that the letters contained anti-gun control rhetoric in their message and threatened future attacks if gun control legislation was pursued.,1,1,Biological,,.,,.,,.,,.,,.,,.,,.,Ricin in a letter was used in the attack.,0,0,0,0,0,0,,.,,,There is doubt that this incident meets terrorism-related criteria. Richardson later claimed she had sent the letters in order to frame her husband.,"""Texas woman is indicted over ricin letters to Obama, others,"" St. Louis Post-Dispatch, June 29, 2013.","""Texas woman indicted for sending ricin letters to Obama,"" India Blooms News Service, June 29, 2013.","""TV actress sends toxic missives to VIPs,"" SP's MAI, July 1, 2013.",START Primary Collection
2014,10,3,New York,New York City,40.7465,-74.001374,The incident occurred in the Chelsea area of Manhattan.,"10/03/2014: Assailants attacked an art gallery in the Chelsea neighborhood of New York City, New York, United States. The assailants defaced a photography exhibit on the conflict in Ukraine, distributed anti-Vladimir Putin leaflets, and assaulted German photojournalist Benjamin Hiller with pepper spray before leaving. No group claimed responsibility for the attack.",0,1,0,8,Unarmed Assault,7,Facility/Infrastructure Attack,14,Private Citizens & Property,81,Museum/Cultural Center/Cultural House,ArtBeam,Art Gallery,217,United States,10,Journalists & Media,56,Other (including online news agencies),Not Applicable,Freelance Photojournalist: Benjamin Hiller,75,Germany,,.,,.,,,,.,Unknown,"The specific motive is unknown; however, sources noted that the assailants left leaflets, criticizing President Vladimir Putin, at the scene of the incident.",3,2,Chemical,,.,,.,,.,,.,,.,,.,,.,Pepper spray and paint were used in the attack.,0,0,1,0,0,1,3,Minor (likely < $1 million),-99,A laptop computer and photographs were damaged in this attack.,,"""Exhibit on Ukraine Displays Signs of Vandalism,"" The New York Times Blogs (ArtsBeat), October 5, 2014.","""After Alleged Attack, Making Sense of a Chelsea Exhibition's Murky Backing,"" Hyperallergic, October 13, 2014.","""NYC Photo Exhibition Vandalized, Curator Attacked,"" Hyperallergic, October 3, 2014.",START Primary Collection
2001,10,17,New York,New York City,40.750117,-73.97506,The office of Governor Pataki at 633 Third Avenue,"10/17/2001: Anthrax tests on the offices of Governor George Pataki came back positive in Manhattan, New York county, New York.  Although no employee tested positive for anthrax exposure, the buildings were evacuated for testing and decontamination.  No group claimed responsibility for the attack, although authorities believed this incident was related to other anthrax contaminations throughout the United States following the September 11, 2001 attacks on the World Trade Center and Washington, DC.",0,0,0,8,Unarmed Assault,,.,2,Government (General),21,Government Building/Facility/Office,Offices of New York State Governor,George Pataki and employees in his office,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unknown,"Although the specific motive for this attack was unknown, authorities believed that this attack was related to the other anthrax attacks that occurred around this time across the United States.  It was unclear whether these anthrax attacks were related to the September 11, 2001 attacks in New York City and Washington, DC.",-99,1,Biological,,.,,.,,.,,.,,.,,.,,.,"The source of the anthrax was unclear, as the tests done cleared a suspicious letter that was thought to be the source.",0,0,0,0,0,0,,.,,,,"""Probable anthrax found in Governor's office in New York,"" Xinhua News Agency, October 17, 2001.","David Espo, ""More than 30 Senate employees exposed to anthrax; congressional business curtailed,"" Associated Press, October 17, 2001.",,UMD Schmid 2012
1997,1,13,New York,New York City,40.748876,-73.968009,Manhattan,"1/13/1997:  Unknown perpetrators sent four letter bombs to the Al-Hayat newspaper's bureau at the United Nations Headquarters in Manhattan, New York, United States.  All four bombs, postmarked from Alexandria Egypt, were discovered and subsequently disarmed.",0,0,0,3,Bombing/Explosion,,.,10,Journalists & Media,53,Newspaper Journalist/Staff/Facility,Al-Hayat Newspapers,Al-Hayat Bureau at the United Nations Headquarters,173,Saudi Arabia,,.,,.,,,,.,,.,,.,,,,.,Islamist Extremists,,-99,6,Explosives/Bombs/Dynamite,9,Letter Bomb,,.,,.,,.,,.,,.,,.,Four bombs placed in greeting cards set to explode when opened.  The devices contained the plastic explosive Semtex attached to a sophisticated detonator.,0,0,0,0,0,0,,.,,,"In a two week period, there were eight other letter bombs sent to Al-Hayat offices in Washington D.C., London, and Riyadh (199701020005).  Three other letter bombs were sent to the penitentiary at Fort Leavenworth where one of the conspirators of the 1993 World Trade Center bombing was imprisoned (199701020004).","Sarah Lyall, ""2 Hurt at Arabic Paper as Bombs Are Mailed to London and U.N.,"" New York Times, January 14, 1997.","Frank Bruni, ""Scattered Signs of Jitters In Aftermath of U.N. Bombs,"" New York Times, January 15, 1997.","""Letter-Bombs Found In U.N. Mail,"" Gadsden Times, January 14, 1997.",Hewitt Project
2002,10,3,New York,New York City,40.748876,-73.968009,Manhattan,"10/3/2002: Steve Kim fired seven shots at the United Nations Headquarters in Manhattan, New York, United States.  Four bullets hit the building between the eighteenth and twentieth floors.  There were no casualties but windows were shattered.  Immediately, after the shooting, Kim released a flier portraying the horrors of life in North Korea and called for the United Nations to end the Kim Jong-Il regime.",0,1,0,2,Armed Assault,,.,7,Government (Diplomatic),47,"International Organization (peacekeeper, aid agency, compound)",United Nations,United Nations Secretariat Building,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),To highlight the oppression of daily life in North Korea and to call on the United Nations to end the Kim Jung-Il regime,1,5,Firearms,3,Handgun,,.,,.,,.,,.,,.,,.,Silver colored .357 caliber revolver,0,0,0,0,0,1,3,Minor (likely < $1 million),,Windows shattered,The shooting took place at 1:10 PM.  Steve Kim was detained almost immediately after firing his weapon.,"Larry Neumeister, ""Judge: Stern Leniency for Postal Worker in U.N. Gunfire,"" Associated Press, September 22, 2003.","""Gun Fired at U.N.; No Injuries Reported,"" USA Today, October 3, 2002.","""No One Hurt as Gunman Fires Shots in the Air Outside UN Building in New York,"" UN News Centre, October 3, 2002. <http://www.un.org/apps/news/storyAr.asp?NewsID=4924&Cr=xxx&Cr1=>",Hewitt Project
2010,2,25,New York,New York City,40.809016,-73.948348,The attack took place in a train station in Harlem in New York.,"02/25/2010: On Thursday, at the train station in Harlem, New York City, New York, USA, police arrested Roosevelt Terry, an amputee who planted a bag of small explosives wrapped in shotgun shells, bullets, glue, lug nuts and pens in a waiting area at a station. No group claimed responsibility. There were no reported casualties or damage.",0,0,0,3,Bombing/Explosion,,.,19,Transportation,100,Train/Train Tracks/Trolley,,The targets were private citizens.,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),The specific motive for the attack is unknown.,1,6,Explosives/Bombs/Dynamite,17,Other Explosive Type,,.,,.,,.,,.,,.,,.,"An improvised explosive device was used in the attack consisting of a bag of small explosives wrapped in shotgun shells, bullets, glue, lug nuts, and pens.",0,0,0,0,0,0,,.,,,,"Wall Street Journal, ""Amputee Arrested in Alleged Bomb Attempt,"" http://online.wsj.com/article/SB10001424052748704479404575088111782246950.html?mod=googlenews_wsj (February 25, 2010.)","Wall Street Journal, ""Police Arrest Amputee in Bombing Attempt,"" LexisNexis Academic, Wall Street Journal, February 26, 2010.",,ISVG
2014,12,20,New York,New York City,40.678178,-73.941773,The incident occurred in the Bedford-Stuyvesant neighborhood of the Brooklyn borough in the city.,"12/20/2014: An assailant opened fire on New York City Police Department officers while they were sitting in their vehicle in Bedford-Stuyvesant neighborhood, Brooklyn, New York City, New York, United States. Officers Wenjian Liu and Rafael Ramos were killed in the attack. The assailant, identified as Ismaaiyl Brinsley, claimed responsibility and stated that the attack was carried out to avenge the deaths of Michael Brown and Eric Garner at the hands of the authorities.",0,1,0,2,Armed Assault,,.,3,Police,25,Police Security Forces/Officers,New York City Police Department,"Officers: Wenjian Liu, Rafael Romos",217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),"An individual, identified as Ismaaiyl Brinsley, claimed responsibility for the incident and stated that the attack was carried out in retaliation to the death of Michael Brown and Eric Garner by authorities.",1,5,Firearms,3,Handgun,,.,,.,,.,,.,,.,,.,A Taurus semiautomatic handgun was used in the attack.,2,2,0,0,0,1,3,Minor (likely < $1 million),-99,A police vehicle was damaged in this attack.,,"""Two Police Officers Shot in Their Patrol Car in Brooklyn,"" New York Times, December 20, 2014.","""Two NYC police officers killed in ambush shooting,"" The Hindu, December 21, 2014.","""Two New York City police officers are shot, one fatally, during a brazen ambush in Brooklyn,"" Washington Post, December 20, 2014.",START Primary Collection
2015,8,19,New York,New York City,40.746559,-73.930696,The incident occurred in the Queens borough of the city.,"08/19/2015: An assailant threw drain cleaner at Alexandra Dyer in Queens, New York city, New York, United States. Dyer, a Roman Catholic female priest, was injured in the attack. No group claimed responsibility for the incident.",0,1,0,8,Unarmed Assault,,.,15,Religious Figures/Institutions,85,Religious Figure,Unknown,Roman Catholic Womenpriest: Alexandra Dyer,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unknown,,1,2,Chemical,,.,,.,,.,,.,,.,,.,,.,A drain cleaner substance was used in the attack.,0,0,1,0,0,0,,.,,,,"""Woman attacked with acid-like liquid in Queens,"" New York Post, August 20, 2015.","""Woman priest burned in liquid attack was 'ambushed',"" The New York Post, August 20, 2015.",,START Primary Collection
2001,3,2,New York,New York City,40.764357,-73.923462,,"03/02/2001: The Animal Liberation Front (ALF) claimed responsibility for placing two Molotov Cocktails under a delivery truck that belonged to Shaller & Weber, a meatpacking plant in Astoria, New York U.S.A. One of the devices fizzled while the other failed to ignite at all. Damages caused only totaled about $135. The group claims that the attack was carried out in support of Long Island animal and environmental activists. In a written statement, the group writes, ""The ALF activists have taken this action against the meat industry to continue their campaign of economic sabotage against all companies who profit from the misery, torture and death inflicted upon animals in the name of profit.""",0,0,0,3,Bombing/Explosion,,.,1,Business,5,Industrial/Textiles/Factory,Shaller & Weber Meatpackers,"Delivery Trucks belonging to Shaller & Weber Meatpackers in Astoria, New York",217,United States,,.,,.,,,,.,,.,,.,,,,.,Animal Liberation Front (ALF),Unknown,,8,Incendiary,18,Arson/Fire,,.,,.,,.,,.,,.,,.,,0,0,0,0,0,1,3,Minor (likely < $1 million),135,,,"Warren Woodbury, ""Animal Activists Claim Truck Fire,"" Daily News, March 6 2001.","""ALF Claims Fire Attack On Meat Trucks,"" Frontline Information Service, March 5, 2001.",,CETIS
2015,12,5,New York,New York City,40.781593,-73.91357,The incident occurred in the Astoria area of Queens.,"12/05/2015: An assailant assaulted a Muslim store clerk at Fatima Food Mart in Queens borough, New York City, New York, United States. The clerk was injured in the attack. No group claimed responsibility; however, an assailant, identified as Piro Kolvani, said ""I kill Muslims"" during the attack and was later arrested.",0,1,0,8,Unarmed Assault,,.,14,Private Citizens & Property,69,Religion Identified,Not Applicable,Muslim Civilian,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),"The specific motive is unknown; however, sources suspected that the attack may have been part of a larger trend of violence targeting members of the Muslim community following the Paris attacks and the San Bernardino attack. Moreover, sources noted that the assailant said, ""I kill Muslims,"" during the attack.",1,9,Melee,22,"Hands, Feet, Fists",,.,,.,,.,,.,,.,,.,,0,0,1,1,0,0,,.,,,"Casualty numbers for this incident conflict across sources. Following GTD protocol, the majority reliable estimates are reported here.","""Florida man charged with hate crimes for allegedly attacking Muslim store clerk in Queens,"" New York Daily News, January 4, 2016.","""Man Yells He Wants to 'Kill Muslims,' Attacks Store Owner in NYC: Police, Victim,"" NBC New York, December 10, 2015.","""Advocates fear rise in anti-Muslim attacks after Paris, San Bernardino,"" CBS News, December 10, 2015.",START Primary Collection
2014,10,23,New York,New York City,40.728224,-73.797888,The incident occurred in the burough of Queens.,"10/23/2014: An assailant attacked a police patrol with a hatchet in Queens borough, New York City, New York, United States. The assailant was killed and two officers and a bystander were wounded in the attack. Zale Thompson, a convert to Islam, was responsible for the incident.",0,1,0,2,Armed Assault,,.,3,Police,23,Police Patrol (including vehicles and convoys),New York City Police Department,Patrol,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),"The specific motive is unknown; however, sources noted that the assailant had recently complained of ""injustices"" in the United States (US) on social media.",1,9,Melee,23,Knife or Other Sharp Object,,.,,.,,.,,.,,.,,.,A hatchet was used in the attack.,1,0,3,0,0,0,,.,,,,"""Cops recover after hatchet attack,"" CNN, October 28, 2014.","""NY axe attack: Islamist link probed,"" BBC, October 24, 2014.","""NYPD Commissioner 'Confident' Hatchet Attack Was Terror,"" Bloomberg, October 24, 2014.",START Primary Collection
2012,1,1,New York,New York City,40.728224,-73.794852,The incident occurred in the borough of Queens.,"01/01/2012: An assailant threw two incendiary devices at a house used for Hindu worship services in Queens, New York City, New York, United States. The devices fizzled out before catching fire. This was one of four arson attacks in Queens on this date. Ray Lazier Lengend was arrested and claimed responsibility for the series of incidents. Sources provide conflicting reports regarding whether they were personally or ideologically motivated.",1,1,0,7,Facility/Infrastructure Attack,,.,15,Religious Figures/Institutions,86,Place of Worship,Unknown,Hindu Temple,217,United States,,.,,.,,,,.,,.,,.,,,,.,Unaffiliated Individual(s),"The specific motive is unknown; however, police were investigating the series of four attacks in New York City as hate crimes.",-99,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,.,,.,,.,,.,,.,,.,Molotov cocktails were used in the attack.,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,The structure of the building was damaged in this attack.,There is doubt that this incident meets terrorism-related criteria. Sources noted that the assailants claimed that he carried out the attacks for personal rather than political reasons.,"""Authorities probe fire attacks on 4 NYC sites,"" Associated Press Online, January 2, 2012.","""Islamic centre, Hindu worship place attacked in US,"" The Press Trust of India Limited, January 2, 2012.","""Security beefed up in NY after mosque attacks,"" Daily the Pak Banker, January 4, 2012.",START Primary Collection
